s,l,m,a,omega,lambda_gsn,N,r_match,mapping,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,flux_balance_error,score,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,T_spectral,R_spectral,cond_outer_down,cond_outer_up,cond_inner,status
0,0,0,0.0,0.01,0.0,192,12.0,sinh,3.2603339233411986e-10,3.271139583551748e-10,3.388863228976152e-10,3.3337297917046833e-10,9.050538096744276e-13,3.271139583551748e-10,-2.0041376656351244e+00+4.8262801565549438e+01j,-3.9418283053297225e+00-4.8101731490163971e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994903437026,0.9982857005105613,640981249.0833291,640981249.0833291,1212390350.6863194,ok
0,0,0,0.0,0.01,0.0,224,12.0,sinh,2.3466385112791193e-10,2.348228519018757e-10,2.4014055462402056e-10,2.3483101749994607e-10,6.218359160925502e-13,2.348228519018757e-10,-2.0041376634514507e+00+4.8262801561222759e+01j,-3.9418283081530294e+00-4.8101731485463432e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994906569722,0.9982857005087212,1281507509.479409,1281507509.479409,2422197430.490274,ok
0,0,0,0.0,0.01,0.0,64,15.0,sinh,5.341530172680808e-12,5.349353468501293e-12,5.385664125738695e-12,7.225077661086757e-12,1.368904989362818e-13,5.349353468501293e-12,-2.0041376605639591e+00+4.8262801550255844e+01j,-3.9418283073877474e+00-4.8101731474413953e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914432265,0.9982857005084199,4780181.394301711,4780181.394301711,5737723.82073096,ok
0,0,0,0.0,0.01,0.0,80,15.0,sinh,4.352538793202325e-11,4.349207662724035e-11,4.5998509303640285e-11,4.570583124679581e-11,8.149037000748649e-14,4.352538793202325e-11,-2.0041376597146678e+00+4.8262801547928589e+01j,-3.9418283076375693e+00-4.8101731472028348e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994916107715,0.9982857005084708,13000896.211766677,13000896.211766677,15212663.074028278,ok
0,0,0,0.0,0.01,0.0,96,15.0,sinh,5.311698918886859e-11,5.29835536635491e-11,5.453268512131027e-11,5.5448078200061304e-11,5.825340210208196e-13,5.311698918886859e-11,-2.0041376612223045e+00+4.8262801552538257e+01j,-3.9418283081282359e+00-4.8101731476659943e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994912794237,0.998285700508138,29462447.218021788,29462447.218021788,34000961.64990097,ok
0,0,0,0.0,0.01,0.0,112,15.0,sinh,7.783162398888893e-11,7.815591654776045e-11,8.216030905282975e-11,7.822569074489767e-11,2.4646951146678475e-13,7.815591654776045e-11,-2.0041376619461393e+00+4.8262801553703049e+01j,-3.9418283072822318e+00-4.8101731477948235e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994911946868,0.9982857005090519,58859149.136783876,58859149.136783876,67371108.12720183,ok
0,0,0,0.0,0.01,0.0,128,15.0,sinh,3.3348635158450453e-11,3.343644044709516e-11,4.027741960808039e-11,5.3313605610414484e-11,7.360778653264788e-14,3.343644044709516e-11,-2.0041376616769413e+00+4.8262801551563655e+01j,-3.9418283052674155e+00-4.8101731475947808e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994913472013,0.9982857005085792,107213513.68571074,107213513.68571074,122081678.41619793,ok
0,0,0,0.0,0.01,0.0,160,15.0,sinh,7.690079472849391e-11,7.72235522842124e-11,7.817604557419038e-11,9.641091776243295e-11,5.150324611236101e-13,7.72235522842124e-11,-2.0041376596872107e+00+4.8262801546316162e+01j,-3.9418283096050759e+00-4.8101731470233666e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299491725202,0.9982857005077598,292156839.6767768,292156839.6767768,330717826.5202845,ok
0,0,0,0.0,0.01,0.0,192,15.0,sinh,2.53278082785217e-10,2.5325003855069814e-10,2.546765850962319e-10,2.7311699937076516e-10,1.0588196985850118e-12,2.53278082785217e-10,-2.0041376623140006e+00+4.8262801562169919e+01j,-3.9418283130502481e+00-4.8101731485954453e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994905931512,0.9982857005083481,662909119.1577069,662909119.1577069,748126255.615122,ok
0,0,0,0.0,0.01,0.0,224,15.0,sinh,6.734124588881674e-10,6.744554953659507e-10,7.250273504933592e-10,6.966088249864488e-10,9.192646643896296e-14,6.744554953659507e-10,-2.0041376462039424e+00+4.8262801518037094e+01j,-3.9418283128576568e+00-4.8101731441046319e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994937704018,0.9982857005063215,1325492890.3626962,1325492890.3626962,1493268996.3380606,ok
0,0,0,0.0,0.01,0.0,64,20.0,sinh,1.7827851564689468e-11,1.7978156015027808e-11,1.904520529408974e-11,1.845199695025168e-11,1.0436096431476471e-13,1.7978156015027808e-11,-2.0041376608790986e+00+4.8262801550846426e+01j,-3.9418283070040747e+00-4.8101731475056937e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994914004159,0.9982857005087039,4931283.887937112,4931283.887937112,3428553.760758546,ok
0,0,0,0.0,0.01,0.0,80,20.0,sinh,3.0369040104948336e-11,3.0502430118933274e-11,3.18980054678588e-11,3.050748471319095e-11,2.7755575615628914e-14,3.0502430118933274e-11,-2.0041376610518169e+00+4.8262801551445563e+01j,-3.9418283072266789e+00-4.8101731475645181e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.0017142994913574173,0.9982857005086703,13417833.357486473,13417833.357486473,8783622.604517145,ok
0,0,0,0.0,0.01,0.0,96,20.0,sinh,9.135983281000283e-11,9.175550860223516e-11,9.97934976617354e-11,1.0387385086243783e-10,3.423927807943983e-13,9.175550860223516e-11,-2.0041376626409320e+00+4.8262801554328242e+01j,-3.9418283051526712e+00-4.8101731478781304e+01j,-2.0041376605200187e+00+4.8262801549999431e+01j,-3.9418283071330564e+00-4.8101731474175779e+01j,0.001714299491148304,0.9982857005091942,30416356.940785132,30416356.940785132,19238292.254606232,ok
