s,l,m,a,omega,lambda_gsn,N,r_match,mapping,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,flux_balance_error,score,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,T_spectral,R_spectral,cond_outer_down,cond_outer_up,cond_inner,status,passed
0,2,2,0.5,0.25,5.513392382485113,160,12.0,linear,1.9650231371155116e-10,1.9684931107629851e-10,0.3693152759083372,0.3202960817183307,6.985523270941485e-13,1.9684931107629851e-10,2.7063298727280483e+02-2.3965680127114854e+02j,2.9731154851697806e+02+2.0563002519924268e+02j,1.6518983841413421e+02-3.2154301956204284e+02j,2.1704861038495011e+02+2.8908089667689734e+02j,-2.0504600653183476e-06,1.0000020504607638,4539832907.076504,4539832907.076504,4540591754.517066,ok,true
0,2,2,0.5,0.26,5.494485158990139,128,40.0,linear,2.433200610441098e-11,2.431303358771689e-11,0.3693202040634503,0.3476374087314179,3.6415315207705135e-14,2.433200610441098e-11,2.3718209887996349e+02-1.9308823422518870e+02j,2.4703794320831057e+02+1.8030746779806117e+02j,1.5092158190155163e+02-2.6600956813071105e+02j,1.7038299659127048e+02+2.5398457196525149e+02j,-1.2198521808390767e-06,1.0000012198521444,1782049764.8456109,1782049764.8456109,234353207.09861276,ok,true
0,2,2,0.5,0.275,5.466204662154116,224,40.0,linear,1.1213161700227395e-10,1.1220285240369799e-10,0.3693231459765722,0.38851798753020167,1.4432899320127035e-13,1.1220285240369799e-10,1.9348458062095366e+02-1.3946379268059712e+02j,1.8682008506035194e+02+1.4827202210055120e+02j,1.2966757784033246e+02-2.0018179656677515e+02j,1.1621122902747376e+02+2.0828174903345018e+02j,1.6820736888677971e-06,0.9999983179261668,22056699817.286686,22056699817.286686,1526306382.3661005,ok,true
0,2,2,0.5,0.3,5.419284729909806,160,30.0,linear,6.524295270793091e-10,6.521844853350484e-10,0.3693208505559456,0.45626308801961896,4.884981308350689e-13,6.524295270793091e-10,1.3577045410880180e+02-8.1002341644900412e+01j,1.1650612174737675e+02+1.0686870654588660e+02j,9.7109680010744825e+01-1.2475858945055894e+02j,5.6904778300760761e+01+1.4750065451566257e+02j,1.59518921803604e-05,0.9999840481083082,4783289977.8579645,4783289977.8579645,437326408.8318964,ok,true
0,2,2,0.5,0.6,4.877127087376638,224,40.0,linear,2.3501183976441537e-10,3.870084476091389e-10,0.36932314709226494,1.2040705944282528,1.6011236780855143e-10,3.870084476091389e-10,-5.1617688530543915e-01-1.7785352462522241e+00j,2.4033875228922194e-01+1.1430132732737877e+00j,-1.1265314948543288e+00-1.4698819652605990e+00j,-1.0327896491224979e+00+5.4551590302517516e-01j,0.602218440439133,0.39778155972097934,21977062142.327827,21977062142.327827,43652328.721413225,ok,true
0,2,2,0.5,1.0,4.214163671405773,224,20.0,linear,3.0721068547790837e-10,1.484843489263279e-08,0.3693217222510722,1.864487374182295,6.143552333526259e-10,1.484843489263279e-08,-9.9652239705236045e-01+1.3187112370262872e+00j,4.7766270127054446e-04+2.2760567440248264e-03j,-4.4990736680301469e-01+1.5904840701690144e+00j,-1.8880846899272652e-03-1.3578410519963682e-03j,0.9999980209347537,1.9796796015863694e-06,20838595811.449734,20838595811.449734,139995125.06993118,ok,true
0,2,2,0.9,0.02,5.928277714081679,192,30.0,sinh,9.144414736353841e-10,9.144414735704669e-10,0.8418347741940148,0.7912196563216515,5.551115123125783e-16,9.144414736353841e-10,-7.8335619113269565e+05-2.7545418188617873e+03j,7.3136697669434990e+05-2.8063651789218467e+05j,-5.0788293527602742e+05+5.9641380988342350e+05j,2.9850828119189170e+05-7.2425638741487428e+05j,-1.4198253061937964e-10,1.000000000141982,4038817497.1727567,4038817497.1727567,12995709692.28432,ok,true
0,2,2,0.9,0.05,5.821735706315287,224,25.0,sinh,3.8003640302255795e-11,3.795940192177076e-11,0.8418341105812074,0.7141662740138046,8.859579736508749e-14,3.8003640302255795e-11,-5.1521490842100618e+04-7.9927039397502476e+03j,4.3550504904026900e+04-2.8665325579765304e+04j,-3.9368689931456225e+04+3.4182650396782119e+04j,1.3322241641888058e+04-5.0406996000864165e+04j,-1.2186897452890776e-08,1.000000012186986,5767578921.568591,5767578921.568591,18438220726.717247,ok,true
0,2,2,0.9,0.2,5.3077693869944556,224,8.0,linear,1.5519389315883145e-11,1.5627666075821984e-11,0.8418240587890087,0.31311592923261616,2.091660178393795e-13,1.5627666075821984e-11,-7.3550351066940925e+02-5.3378053335681705e+02j,4.2313522531969807e+02-8.0426971925554983e+02j,-8.8249510596911819e+02+2.1700105982207393e+02j,1.5366850960528038e+02-8.9570039042040048e+02j,-7.420167259027913e-06,1.00000742016705,23520529131.165077,23520529131.165077,21442396759.43273,ok,true
0,2,2,0.9,0.5,4.373491426990369,192,25.0,linear,1.1094178250886454e-10,1.103506063015397e-10,0.841830719739513,0.5116235118083365,5.465627950229646e-13,1.1094178250886454e-10,-4.4243471251326936e+00-4.6672703182381611e+01j,4.6381099600261962e+01-6.8875169629579513e+00j,-3.8497049445634907e+01-2.6756181590933782e+01j,4.3717339671221382e+01+1.6954011372836323e+01j,-0.0003313230297036524,1.000331323029157,10679303680.775015,10679303680.775015,361109074.76951,ok,true
