label,l,m,a,omega,omega_h,m_omega_h,p_horizon,superradiant,N,r_match,mapping,B_inc,B_ref,abs_B_inc,abs_B_ref,reflection_amplitude,R,T,amplification,flux_balance_error,self_rel_abs_B_inc,self_rel_abs_B_ref,self_abs_R,self_abs_T,score,passed,cond_outer_down,cond_outer_up,cond_inner
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.6500000000000001e-01,1.3397459621556135e-01,2.6794919243112270e-01,-2.9491924311226825e-03,true,128,3.0000000000000000e+01,linear,2.2178510194901006e+02-1.7327098301957761e+02j,2.2512531962865600e+02+1.6890854625890540e+02j,2.8144531440957326e+02,2.8144538819671806e+02,2.6085229093600332e-01+9.6537899638326552e-01j,1.0000005243445225e+00,-5.2434452626109616e-07,5.2434452246785668e-07,3.7747582837255322e-15,1.5024887738614885e-09,1.5024926213128526e-09,7.9936057773011271e-15,1.5756434887023978e-15,1.5024887738614885e-09,true,1.7573891124565229e+09,1.7573891124565229e+09,2.8040816387397236e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.6700000000000002e-01,1.3397459621556135e-01,2.6794919243112270e-01,-9.4919243112268070e-04,true,128,3.0000000000000000e+01,linear,2.1586394532775284e+02-1.6591794380333960e+02j,2.1690079019739764e+02+1.6456022437904053e+02j,2.7226091707843636e+02,2.7226094144393107e+02,2.6330254460156610e-01+9.6471340251532944e-01j,1.0000001789863635e+00,-1.7898636434989656e-07,1.7898636350821562e-07,8.8817841970012523e-16,1.1090659754130819e-08,1.1090661684552656e-08,3.9968028886505635e-15,3.9701537762920652e-15,1.1090659754130819e-08,true,1.7571539160015395e+09,1.7571539160015395e+09,2.7402058102019584e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.6800000000000002e-01,1.3397459621556135e-01,2.6794919243112270e-01,5.0807568877320186e-05,false,128,3.0000000000000000e+01,linear,2.1295320761334247e+02-1.6235776255187267e+02j,2.1289870302950598e+02+1.6242922530903067e+02j,2.6778557036117837e+02,2.6778556904011396e+02,2.6448265310643782e-01+9.6439043770622057e-01j,9.9999999013341601e-01,9.8665841770656149e-09,-9.8665839942668754e-09,2.2204460492503131e-16,1.5439331712807295e-08,1.5439331576701872e-08,2.2204460492503131e-16,3.0466693325932086e-16,1.5439331712807295e-08,true,1.7570380708241792e+09,1.7570380708241792e+09,2.7087813909396774e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.6900000000000002e-01,1.3397459621556135e-01,2.6794919243112270e-01,1.0508075688773211e-03,false,128,3.0000000000000000e+01,linear,2.1007534627108578e+02-1.5887302511170918e+02j,2.0896828026223253e+02+1.6032633122671615e+02j,2.6338619785224580e+02,2.6338617017674574e+02,2.6563278790644157e-01+9.6407417341072843e-01j,9.9999978984852766e-01,2.1015147076570571e-07,-2.1015147233516274e-07,1.5543122344752192e-15,1.8858852112458317e-08,1.8858854525702012e-08,4.4408920985006262e-15,7.9264310882652960e-15,1.8858852112458317e-08,true,1.7569237750369349e+09,1.7569237750369349e+09,2.6776992362598306e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.7000000000000002e-01,1.3397459621556135e-01,2.6794919243112270e-01,2.0508075688773220e-03,false,128,3.0000000000000000e+01,linear,2.0723009928703758e+02-1.5546218703521177e+02j,2.0510821623959151e+02+1.5825105665427736e+02j,2.5906139358902288e+02,2.5906133887784631e+02,2.6675297619996924e-01+9.6376471574160516e-01j,9.9999957762003833e-01,4.2237995552936144e-07,-4.2237996167315828e-07,6.1062266354383610e-15,2.1532841369655294e-08,2.1532843722970154e-08,5.5511151231257827e-15,1.8190081246680567e-14,2.1532841369655294e-08,true,1.7568109031404674e+09,1.7568109031404674e+09,2.6469586511174941e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.7500000000000002e-01,1.3397459621556135e-01,2.6794919243112270e-01,7.0508075688773264e-03,false,128,3.0000000000000000e+01,linear,1.9348395851797650e+02-1.3946465734844173e+02j,1.8681942347797792e+02+1.4827285718326814e+02j,2.3850876892287275e+02,2.3850856832812920e+02,2.7190557722907660e-01+9.6232306165760173e-01j,9.9999831792633753e-01,1.6820736756746682e-06,-1.6820736624678645e-06,1.3100631690576847e-14,1.7657907160533752e-08,1.7657929876347896e-08,4.4853010194856324e-14,5.9403802313439291e-14,1.7657907160533752e-08,true,1.7562647404957829e+09,1.7562647404957829e+09,2.4983210296433318e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,2.9999999999999999e-01,1.3397459621556135e-01,2.6794919243112270e-01,3.2050807568877293e-02,false,128,3.0000000000000000e+01,linear,1.3577028207880650e+02-8.1002630867124353e+01j,1.1650589434082464e+02+1.0686895512509201e+02j,1.5809805724029090e+02,1.5809679625370126e+02,2.8651221630098289e-01+9.5806826375701426e-01j,9.9998404810808106e-01,1.5951892089552427e-05,-1.5951891918941641e-05,1.7053025658242404e-13,1.6743089349119255e-08,1.6743491654985158e-08,8.0468964824831346e-13,5.3416791457217179e-13,1.6743089349119255e-08,true,1.7539444334379704e+09,1.7539444334379704e+09,1.8654343029279104e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,4.0000000000000002e-01,1.3397459621556135e-01,2.6794919243112270e-01,1.3205080756887733e-01,false,160,3.0000000000000000e+01,linear,2.8248235165924186e+01-1.1818971261248864e+01j,1.5860996645747298e+01+2.6169593161943610e+01j,3.0621085409625543e+01,3.0600961110037911e+01,1.4797351328565603e-01+9.8832679984804317e-01j,9.9868602393197436e-01,1.3139760702008095e-03,-1.3139760680256352e-03,2.1751489498456067e-12,6.0355224978597837e-09,6.0447757650884173e-09,1.8481438601725131e-11,1.5861064198152697e-11,6.0355224978597837e-09,true,4.7689354580664530e+09,4.7689354580664530e+09,1.1050178232573073e+08
kerr_a05_l2m2,2,2,5.0000000000000000e-01,5.9999999999999998e-01,1.3397459621556135e-01,2.6794919243112270e-01,3.3205080756887728e-01,false,128,2.0000000000000000e+01,linear,-5.1619010304314106e-01-1.7785314011068183e+00j,2.4033024660292820e-01+1.1430150523338196e+00j,1.8519249896263807e+00,1.1680077214187878e+00,-6.2891526717942081e-01-4.7404049158397729e-02j,3.9778155716797403e-01,6.0221844603746255e-01,-6.0221844283202597e-01,3.2054365828315667e-09,1.1961876547471727e-08,2.3872521511050805e-08,9.4756693602704445e-09,1.4407325443777097e-08,1.1961876547471727e-08,true,1.6867247096455433e+09,1.6867247096455433e+09,1.5072241902158497e+07
kerr_a05_l2m2,2,2,5.0000000000000000e-01,8.0000000000000004e-01,1.3397459621556135e-01,2.6794919243112270e-01,5.3205080756887735e-01,false,160,2.0000000000000000e+01,linear,-1.5031774572962437e+00+4.7431712815374133e-01j,6.4848010259271546e-03+4.9258006862605813e-02j,1.5762357711280419e+00,4.9683034170855421e-02,5.4803801083665067e-03-3.1039960373234320e-02j,9.9351370610413622e-04,9.9900648841490447e-01,-9.9900648629389588e-01,2.1210087020051560e-09,1.2005698497728896e-09,5.5623773828694273e-08,1.0814038943832149e-10,2.3987541952763536e-09,2.1210087020051560e-09,true,4.5924582917421150e+09,4.5924582917421150e+09,3.1710955117382396e+07
kerr_a05_l2m2,2,2,5.0000000000000000e-01,1.0000000000000000e+00,1.3397459621556135e-01,2.6794919243112270e-01,7.3205080756887730e-01,false,128,2.0000000000000000e+01,linear,-9.9651451109493905e-01+1.3187171929242565e+00j,4.7765251495182826e-04+2.2760538229936113e-03j,1.6528932832269649e+00,2.3256338770760200e-03,9.2438934480524823e-04-1.0607429086822756e-03j,1.9796711791092105e-06,9.9999802413730465e-01,-9.9999802032882090e-01,3.8084837505891755e-09,4.0734680361538864e-09,8.0940484246989185e-06,3.2063626385470356e-11,8.1469200274852938e-09,4.0734680361538864e-09,true,1.6827047498223028e+09,1.6827047498223028e+09,1.1324332048119599e+07
kerr_a09_l2m2,2,2,9.0000000000000002e-01,2.0000000000000000e-02,3.1339450313662931e-01,6.2678900627325862e-01,-6.0678900627325860e-01,true,160,3.0000000000000000e+01,sinh,-7.8335619358036574e+05-2.7541191333454503e+03j,7.3136712553212140e+05-2.8063613268952095e+05j,7.8336103502339206e+05,7.8336103507900378e+05,-9.3236186125622156e-01+3.6152643031570530e-01j,1.0000000001419820e+00,-1.4198253027084908e-10,1.4198198172721277e-10,5.5511151231257827e-16,2.3351675295709825e-08,2.3351675294052059e-08,4.4408920985006262e-16,6.6310598021683555e-18,2.3351675295709825e-08,true,1.7812115500643787e+09,1.7812115500643787e+09,5.7411735642377443e+09
kerr_a09_l2m2,2,2,9.0000000000000002e-01,5.0000000000000003e-02,3.1339450313662931e-01,6.2678900627325862e-01,-5.7678900627325858e-01,true,160,3.0000000000000000e+01,sinh,-5.1521500451707929e+04-7.9926411653702808e+03j,4.3550539931935062e+04-2.8665272131251317e+04j,5.2137772503183449e+04,5.2137772820880673e+04,-7.4114073382696766e-01+6.7134970384238590e-01j,1.0000000121868355e+00,-1.2186897512371397e-08,1.2186835540717311e-08,6.1950444774083735e-14,2.4925503406229413e-08,2.4925498090904390e-08,1.0214051826551440e-14,6.0752911889508986e-16,2.4925503406229413e-08,true,1.1228366253390110e+09,1.1228366253390110e+09,3.7593319720783758e+09
kerr_a09_l2m2,2,2,9.0000000000000002e-01,8.0000000000000002e-02,3.1339450313662931e-01,6.2678900627325862e-01,-5.4678900627325866e-01,true,160,3.0000000000000000e+01,sinh,-1.2662867184587718e+04-3.5330895418469227e+03j,9.6538810277160719e+03-8.9237619744218573e+03j,1.3146517677515083e+04,1.3146518424032798e+04,-5.2489079770014158e-01+8.5116964469992884e-01j,1.0000001135688941e+00,-1.1356891122939282e-07,1.1356889406677340e-07,1.7208456881689926e-14,2.4538017093238624e-08,2.4537970040131652e-08,9.4591001698063337e-14,5.5735117065725909e-15,2.4538017093238624e-08,true,1.4032839298222010e+09,1.4032839298222010e+09,2.7851352308590212e+09
kerr_a09_l2m2,2,2,9.0000000000000002e-01,1.0000000000000001e-01,3.1339450313662931e-01,6.2678900627325862e-01,-5.2678900627325864e-01,true,192,3.0000000000000000e+01,linear,-6.4604618350726259e+03-2.2928399346134038e+03j,4.6024382314522563e+03-5.0805766938423503e+03j,6.8552667408488169e+03,6.8552678442455799e+03,-3.8482923182949241e-01+9.2298796538290784e-01j,1.0000003219121572e+00,-3.2191344933247924e-07,3.2191215715293708e-07,1.2921885783612197e-12,2.6860728973760128e-09,2.6854682816567671e-09,1.2088108292118704e-12,1.7293659925854236e-15,2.6860728973760128e-09,true,1.1574199243275711e+10,1.1574199243275711e+10,3.9409274040923624e+09
kerr_a09_l2m2,2,2,9.0000000000000002e-01,1.4999999999999999e-01,3.1339450313662931e-01,6.2678900627325862e-01,-4.7678900627325860e-01,true,160,1.2000000000000000e+01,linear,-1.8547035086211217e+03-9.9618835644527337e+02j,1.1422288875054776e+03-1.7685131164844900e+03j,2.1053067107689167e+03,2.1053088786754506e+03,-8.0482466178493681e-02+9.9675705771641765e-01j,1.0000020594696621e+00,-2.0594694732672165e-06,2.0594696621412112e-06,1.8895995879120164e-13,1.3152597539491084e-08,1.3152730228031449e-08,2.6600943670018751e-13,5.4174747116309723e-14,1.3152597539491084e-08,true,5.3269955439568291e+09,5.3269955439568291e+09,3.6063568985532918e+09
kerr_a09_l2m2,2,2,9.0000000000000002e-01,2.0000000000000001e-01,3.1339450313662931e-01,6.2678900627325862e-01,-4.2678900627325861e-01,true,128,1.2000000000000000e+01,linear,-7.3551080209001168e+02-5.3377046561969564e+02j,4.2314622377562011e+02-8.0426391904838647e+02j,9.0878327997326130e+02,9.0878665162877292e+02,1.4295381929875220e-01+9.8973310832502226e-01j,1.0000074201668105e+00,-7.4201674570347077e-06,7.4201668105455809e-06,6.4648286723922865e-13,1.8990976945921506e-08,1.8990772508907474e-08,4.0811798385220754e-13,2.8183245515312925e-13,1.8990976945921506e-08,true,1.7499203233346462e+09,1.7499203233346462e+09,1.2429573119528463e+09
kerr_a09_l2m2,2,2,9.0000000000000002e-01,2.9999999999999999e-01,3.1339450313662931e-01,6.2678900627325862e-01,-3.2678900627325863e-01,true,128,1.2000000000000000e+01,linear,-1.7281456403537234e+02-2.0921173505674173e+02j,1.3174927034684791e+02-2.3723339059119883e+02j,2.7135663549688280e+02,2.7136239947406705e+02,3.6482687333381542e-01+9.3109818795579080e-01j,1.0000424831210852e+00,-4.2483122120811266e-05,4.2483121085234998e-05,1.0356160373703460e-12,3.8603513842158279e-08,3.8600713081650741e-08,5.6024074268634649e-12,3.2799955175413613e-12,3.8603513842158279e-08,true,1.6356195678116734e+09,1.6356195678116734e+09,8.2662249148654139e+08
kerr_a09_l2m2,2,2,9.0000000000000002e-01,4.0000000000000002e-01,3.1339450313662931e-01,6.2678900627325862e-01,-2.2678900627325860e-01,true,128,1.2000000000000000e+01,linear,-4.4466696593022604e+01-9.8812634735330988e+01j,7.8008642774765434e+01-7.5216379611346525e+01j,1.0835692820135623e+02,1.0836444116682902e+02,3.3757485864700842e-01+9.4137234414208804e-01j,1.0001386755061177e+00,-1.3867551003646770e-04,1.3867550611768031e-04,3.9187542100194150e-12,4.2000759102372640e-08,4.1998145115731402e-08,5.2284843121697122e-12,1.1648953638721329e-11,4.2000759102372640e-08,true,1.6024031076514904e+09,1.6024031076514904e+09,4.5137818967527282e+08
