branch,subdomain,k,abs_coeff,normalized_abs_coeff,real_coeff,imag_coeff
up,outer,17,3.4800577961995739e-13,3.4803706547852958e-13,2.0002082946326397e-13,2.8478007379330844e-13
up,outer,18,2.9898972321193022e-13,2.9901660250745563e-13,2.1439818220861959e-13,2.0839451540764266e-13
up,outer,19,2.3142178824456116e-13,2.3144259315574813e-13,-1.3314076418738875e-14,2.3103848043870629e-13
up,outer,20,3.0547543653144251e-13,3.0550289889518555e-13,6.4754008013867770e-14,2.9853334951093038e-13
up,outer,21,1.6893960179299562e-13,1.6895478953066685e-13,5.6326611128159431e-14,1.5927304207803978e-13
up,outer,22,2.1832470315710726e-13,2.1834433063511423e-13,-6.8650968448207320e-14,2.0725038127772465e-13
up,outer,23,2.1347767035848984e-13,2.1349686208631246e-13,-1.7339921453751231e-14,2.1277227936379727e-13
up,outer,24,1.9961617302596535e-13,1.9963411859964186e-13,-6.0595253033637904e-14,1.9019682395697760e-13
up,outer,25,2.8440438451754672e-13,2.8442995258529848e-13,-2.5044632216000130e-14,2.8329952405531828e-13
up,outer,26,1.9975502539235534e-13,1.9977298344891503e-13,3.7775067430531822e-14,1.9615074419975904e-13
up,outer,27,1.6761214407122962e-13,1.6762721246992152e-13,-6.9491782140348778e-14,1.5252777797867815e-13
up,outer,28,2.2920484693189128e-13,2.2922545253916884e-13,-4.5636274552919649e-14,2.2461565462363092e-13
up,outer,29,1.6876528416385450e-13,1.6878045623030127e-13,-5.1690644690873712e-15,1.6868610467795199e-13
up,outer,30,2.0701694870313197e-13,2.0703555960949753e-13,-5.1203635865080748e-14,2.0058465725112525e-13
up,outer,31,2.6870011197667636e-13,2.6872426822405483e-13,3.3358979427198514e-14,2.6662132073008372e-13
up,outer,32,1.9702188626862279e-13,1.9703959861488372e-13,6.1364414741652910e-14,1.8722187979042553e-13
up,outer,33,1.9233412631374119e-13,1.9235141722851001e-13,-1.8553530454862795e-14,1.9143715065924541e-13
up,outer,34,2.2520115690128240e-13,2.2522140257522726e-13,2.2892591241619104e-14,2.2403457397446529e-13
up,outer,35,1.7092372024097755e-13,1.7093908635168967e-13,4.2593182261811322e-14,1.6553168568533360e-13
