branch,subdomain,node_index,z,abs_residual,relative_residual,term_scale,radial_abs_residual,radial_relative_residual,radial_term_scale,real_residual,imag_residual
down,outer,193,4.2373741143777031e-02,5.1255400927170038e-10,4.1971338671738675e-11,1.2212000510167851e+01,5.1254419725332916e-10,4.5097809524033114e-13,1.1365168345486686e+03,-6.0270899382430798e-11,5.0899806591786501e-10
down,outer,194,4.2548322595964569e-02,7.2626310189931524e-10,5.9467165996164604e-11,1.2212841989916862e+01,7.2629095481223579e-10,6.4413476434340575e-13,1.1275450340777297e+03,-1.5803980346618118e-10,-7.0885930458786106e-10
down,outer,195,4.2719610285197322e-02,2.1648587874164210e-10,1.7724884369830681e-11,1.2213669450511066e+01,2.1661221317088786e-10,1.9360295205388786e-13,1.1188476770261000e+03,1.9608847878771485e-10,9.1735730123332360e-11
down,outer,196,4.2887574862211536e-02,4.6198047929782469e-10,3.7822353409816579e-11,1.2214482644486109e+01,4.6198596153639190e-10,4.1604666449877620e-13,1.1104186163659313e+03,-1.8197798823393896e-10,-4.2462922067443287e-10
down,outer,197,4.3052187547141615e-02,3.2304343600961561e-10,2.6445844953723014e-11,1.2215281325852965e+01,3.2304472521032025e-10,2.9307703004955863e-13,1.1022519409170147e+03,2.6138113895513015e-10,-1.8983403737848903e-10
down,outer,198,4.3213420134451425e-02,1.6222265527833175e-10,1.3279452254073560e-11,1.2216065254390960e+01,1.6225297062321737e-10,1.4826532793800512e-13,1.0943419670650239e+03,1.6038637085102891e-10,-2.4339308346554844e-11
down,outer,199,4.3371244997767157e-02,6.4874248933292361e-10,5.3102340515080142e-11,1.2216834192999309e+01,6.4869891052978959e-10,5.9695308817557327e-13,1.0866832308588328e+03,-5.7473137360375404e-11,-6.4619165573986947e-10
down,outer,200,4.3525635094610972e-02,2.5630303523276910e-10,2.0978202668062325e-11,1.2217587907231463e+01,2.5634829693594126e-10,2.3751997443782608e-13,1.0792704804835003e+03,1.0526868265969824e-10,2.3368729173967040e-10
down,outer,201,4.3676563971034567e-02,9.4028719636706794e-11,7.6957120262290503e-12,1.2218326168680910e+01,9.4070715762535385e-11,8.7744457180496221e-14,1.0720986690820325e+03,7.9920070561456669e-11,-4.9539705671008960e-11
down,outer,202,4.3824005766151961e-02,1.3839769390683230e-10,1.1326388552564892e-11,1.2219048751907044e+01,1.3846650877042673e-10,1.2999561150861216e-13,1.0651629479142330e+03,1.3618617344945960e-10,-2.4642399232277512e-11
down,outer,203,4.3967935216570594e-02,1.3630297089212427e-10,1.1154312506568276e-11,1.2219755436461151e+01,1.3640204119348566e-10,1.2886855799791279e-13,1.0584586598361323e+03,-1.2302425744792345e-10,5.8681615122679887e-11
down,outer,204,4.4108327660720086e-02,1.8944619566387811e-10,1.5502396195905115e-11,1.2220446005238818e+01,1.8942464911311808e-10,1.8006464863559327e-13,1.0519813330848031e+03,-1.8254109335202884e-10,-5.0681459029533471e-11
down,outer,205,4.4245159043077874e-02,3.2031768367523821e-10,2.6210173635918944e-11,1.2221120246081410e+01,3.2028914652447816e-10,3.0628380634422635e-13,1.0457266753584468e+03,1.4125767222594732e-10,2.8748858849070302e-10
down,outer,206,4.4378405918290988e-02,3.6025361734989707e-10,2.9476367411692955e-11,1.2221777952428031e+01,3.6027463835271900e-10,3.4652102210067557e-13,1.0396905681758251e+03,-2.3756285827403190e-10,2.7082569520331390e-10
down,outer,207,4.4508045455193344e-02,7.0198602872424861e-10,5.7434296212788969e-11,1.2222418920629806e+01,7.0198863204312295e-10,6.7899181645375102e-13,1.0338690614998573e+03,1.1191048088221578e-12,-7.0198513668628948e-10
down,outer,208,4.4634055440717663e-02,3.0784878407078443e-10,2.5185936533762413e-11,1.2223042953280892e+01,3.0781513599241099e-10,2.9935582863623413e-13,1.0282583686267765e+03,-2.8884450387067773e-10,1.0648815162994651e-10
down,outer,209,4.4756414283701626e-02,5.2013093367615727e-10,4.2551197046433102e-11,1.2223649856632125e+01,5.2006669277360472e-10,5.0844622482224822e-13,1.0228548613089201e+03,-2.7975399774504695e-10,-4.3849046615918041e-10
down,outer,210,4.4875101018587389e-02,9.9849434423588793e-11,8.1681510652653483e-12,1.2224239442411085e+01,9.9889553439881645e-11,9.8156592408439035e-14,1.0176550651252398e+03,-9.9206864945244888e-11,-1.1309619907251545e-11
down,outer,211,4.4990095309013940e-02,1.8809767471425835e-10,1.5386550074030607e-11,1.2224811527551539e+01,1.8807996154368703e-10,1.8572943389217240e-13,1.0126556550690789e+03,1.6100454303114020e-10,9.7253649578021850e-11
down,outer,212,4.5101377451301598e-02,4.9708443251487007e-10,4.0660086184502522e-11,1.2225365934033174e+01,4.9715053812740155e-10,4.9327661423180455e-13,1.0078534513573687e+03,3.9508041282942941e-10,3.0166935616193769e-10
down,outer,213,4.5208928377828181e-02,8.6606391700668844e-10,7.0838444660487813e-11,1.2225902490625412e+01,8.6609620051419301e-10,8.6329445136622721e-13,1.0032454154472230e+03,-8.4187501414589860e-10,-2.0325641170160225e-10
down,outer,214,4.5312729660296078e-02,4.9344071263198941e-10,4.0358557224949607e-11,1.2226421025946513e+01,4.9343346136991711e-10,4.9401212432574364e-13,9.9882864624706053e+02,4.5292658512607886e-11,4.9135762125729343e-10
