s,l,m,a,omega,N,r_match,mapping,kappa_outer,kappa_inner,lambda_gsn,lambda_local,lambda_abs_error,B_inc_spectral,B_ref_spectral,B_inc_gsn,B_ref_gsn,rel_abs_B_inc,rel_abs_B_ref,rel_complex_B_inc,rel_complex_B_ref,phase_factor_B_inc,phase_factor_B_ref,T_spectral,R_spectral,flux_balance_error,cond_outer_down,cond_outer_up,cond_inner,status
0,2,2,5.0000000000000000e-01,2.7500000000000002e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.4662046621541158e+00,5.4662046621541167e+00,8.8817841970012523e-16,1.9348451366785420e+02-1.3946388605663887e+02j,1.8682001372185479e+02+1.4827211244566652e+02j,1.2966757784033246e+02-2.0018179656677515e+02j,1.1621122902747376e+02+2.0828174903345018e+02j,1.0865930294096413e-09,1.0865993056696243e-09,3.6932267274474667e-01,3.8851751431440307e-01,9.3180038278493127e-01+3.6297114047130702e-01j,9.2452707162207792e-01-3.8111638118966162e-01j,1.6820736848351105e-06,9.9999831792632154e-01,6.4392935428259079e-15,2.1749445938050823e+10,2.1749445938050823e+10,2.2499337627626657e+09,ok
0,2,2,5.0000000000000000e-01,2.9999999999999999e-01,224,3.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.4192847299098057e+00,5.4192847299098048e+00,8.8817841970012523e-16,1.3577060411139544e+02-8.1002089907701077e+01j,1.1650631935264910e+02+1.0686849088301560e+02j,9.7109680010744825e+01-1.2475858945055894e+02j,5.6904778300760761e+01+1.4750065451566257e+02j,1.6662098462630523e-09,1.6662186416694232e-09,3.6932267202468816e-01,4.5626488915455832e-01,9.3180038029806267e-01+3.6297113927138402e-01j,8.9591117379617047e-01-4.4423323303725298e-01j,1.5951892212703827e-05,9.9998404810780039e-01,1.3100631690576847e-14,2.1720746670918987e+10,2.1720746670918987e+10,1.6831465901974933e+09,ok
0,2,2,5.0000000000000000e-01,5.9999999999999998e-01,224,2.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,4.8771270873766381e+00,4.8771270873766417e+00,3.5527136788005009e-15,-5.1617946431681927e-01-1.7785344958042626e+00j,2.4033709259292235e-01+1.1430136197415668e+00j,-1.1265314948543288e+00-1.4698819652605990e+00j,-1.0327896491224979e+00+5.4551590302517516e-01j,1.2463411613161544e-09,2.4912024997000323e-09,3.6932172147875197e-01,1.2040694341082543e+00,9.3180073177564449e-01+3.6297023813212465e-01j,2.7510839643191143e-01-9.6141321253156109e-01j,6.0221844165721528e-01,3.9778155885153632e-01,5.0875170742870068e-10,2.0888450923838013e+10,2.0888450923838013e+10,1.8567416666187152e+08,ok
0,2,2,5.0000000000000000e-01,1.0000000000000000e+00,224,2.0000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,4.2141636714057729e+00,4.2141636714057693e+00,3.5527136788005009e-15,-9.9652239705236045e-01+1.3187112370262872e+00j,4.7766270127054446e-04+2.2760567440248264e-03j,-4.4990736680301469e-01+1.5904840701690144e+00j,-1.8880846899272652e-03-1.3578410519963682e-03j,3.0721068547790837e-10,1.4848434892632790e-08,3.6932172225107218e-01,1.8644873741822949e+00,9.3180073242954031e-01+3.6297023904082132e-01j,-7.3815659909102915e-01-6.7462938382603554e-01j,9.9999802093475365e-01,1.9796796015863694e-06,6.1435523335262587e-10,2.0838595811449734e+10,2.0838595811449734e+10,1.3999512506993118e+08,ok
0,2,2,9.0000000000000002e-01,2.0000000000000000e-02,224,3.0000000000000000e+01,sinh,3.2188758248682006e+00,1.6094379124341003e+00,5.9282777140816787e+00,5.9282777140816787e+00,0.0000000000000000e+00,-7.8335618488849164e+05-2.7547959407325088e+03j,7.3136688202980033e+05-2.8063674966202083e+05j,-5.0788293527602742e+05+5.9641380988342350e+05j,2.9850828119189170e+05-7.2425638741487428e+05j,5.9158094006362304e-09,5.9158095488263105e-09,8.4183506560502752e-01,7.9121936016602401e-01,6.4565685524308014e-01+7.6362766676306171e-01j,6.8698595613342439e-01+7.2667068486614061e-01j,-1.4198253255893227e-10,1.0000000001419815e+00,9.9920072216264089e-16,8.0716494851713724e+09,8.0716494851713724e+09,2.5947998297853806e+10,ok
0,2,2,9.0000000000000002e-01,5.0000000000000003e-02,224,3.0000000000000000e+01,sinh,2.3025850929940455e+00,1.1512925464970227e+00,5.8217357063152866e+00,5.8217357063152981e+00,1.1546319456101628e-14,-5.1521488406786106e+04-7.9927210468640051e+03j,4.3550496014177115e+04-2.8665339478732556e+04j,-3.9368689931456225e+04+3.4182650396782119e+04j,1.3322241641888058e+04-5.0406996000864165e+04j,4.1046643031920783e-09,4.1046718140166092e-09,8.4183441293371108e-01,7.1416597993449149e-01,6.4565741470494131e-01+7.6362720685283336e-01j,7.4498348065677555e-01+6.6708291970178579e-01j,-1.2186897351918237e-08,1.0000000121869128e+00,1.5543122344752192e-14,5.0960189181933460e+09,5.0960189181933460e+09,1.6978606723796383e+10,ok
0,2,2,9.0000000000000002e-01,2.0000000000000001e-01,224,1.2000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,5.3077693869944556e+00,5.3077693869944520e+00,3.5527136788005009e-15,-7.3550120334540929e+02-5.3378372543239652e+02j,4.2313174493929586e+02-8.0427155880449141e+02j,-8.8249510596911819e+02+2.1700105982207393e+02j,1.5366850960528038e+02-8.9570039042040048e+02j,8.2551749742272587e-09,8.2538599721274105e-09,8.4182799363814786e-01,3.1311165221667991e-01,6.4566282281876042e-01+7.6362263961989774e-01j,9.5098055487693056e-01+3.0925070857426584e-01j,-7.4201671362880428e-06,1.0000074201646363e+00,2.5000002068509275e-12,2.1666971297994255e+10,2.1666971297994255e+10,1.5320483610288509e+10,ok
0,2,2,9.0000000000000002e-01,5.0000000000000000e-01,224,1.2000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,4.3734914269903689e+00,4.3734914269903697e+00,8.8817841970012523e-16,-4.4244879943199420e+00-4.6672689937436921e+01j,4.6381120492534741e+01-6.8873770095472926e+00j,-3.8497049445634907e+01-2.6756181590933782e+01j,4.3717339671221382e+01+1.6954011372836323e+01j,2.4253255671629048e-09,2.4231878998488521e-09,8.4182798307059914e-01,5.1162059500294144e-01,6.4566282588496904e-01+7.6362262939287429e-01j,8.6912218580760592e-01-4.9459744336519268e-01j,-3.3132302817003511e-04,1.0003313230260624e+00,2.1076473899483972e-12,1.9668383268521698e+10,1.9668383268521698e+10,3.5194962800814643e+09,ok
0,2,2,9.0000000000000002e-01,5.7999999999999996e-01,224,1.2000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,4.1454126714592494e+00,4.1454126714592530e+00,3.5527136788005009e-15,4.8854692998971281e+00-2.1029428438341679e+01j,1.7472540075280801e+01+1.2690416956422803e+01j,-1.2904181739325981e+01-1.7308574942397435e+01j,4.3632981696965905e+00+2.1149420097677346e+01j,2.3327070687614421e-09,2.3326071377003274e-09,8.4182799237487649e-01,7.2246508469074344e-01,6.4566281329433539e-01+7.6362263380771400e-01j,7.3902209836879129e-01-6.7368118086924045e-01j,-4.9703103552748741e-04,1.0004970310343086e+00,1.2188028364334969e-12,1.9591267928188652e+10,1.9591267928188652e+10,2.1653953825590916e+09,ok
0,2,2,9.0000000000000002e-01,6.2000000000000000e-01,224,1.2000000000000000e+01,linear,0.0000000000000000e+00,0.0000000000000000e+00,4.0346939039819301e+00,4.0346939039819354e+00,5.3290705182007514e-15,4.8349662048462969e+00-1.2263347208801690e+01j,6.0486199854723450e+00+1.1713762216068897e+01j,-6.2428116335812716e+00-1.1610077018199672e+01j,-4.8093424068945394e+00+1.2274699877877367e+01j,7.1799645328442533e-09,7.1791896412396711e-09,8.4182798731219377e-01,8.2471649164512595e-01,6.4566281270898596e-01+7.6362262795492908e-01j,6.5992134702508798e-01-7.5133468000766113e-01j,-1.8096700301518056e-04,1.0001809670023551e+00,6.6002758813965556e-13,1.9563857972133469e+10,1.9563857972133469e+10,1.5573481961885805e+09,ok
